Year,Cause of death,unter 1 Jahr,1 bis unter 15 Jahre,15 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 70 Jahre,70 bis unter 75 Jahre,75 bis unter 80 Jahre,80 bis unter 85 Jahre,85 Jahre und mehr,Total
2000,Neoplasms of the urinary bladder,0,2,0,1,1,5,17,26,60,104,169,402,586,982,1147,873,1602,5977
2000,"Neoplasms of lymphoid, hematopoietic, and related tissue",7,134,59,73,84,143,195,242,361,548,974,1654,1932,2667,2911,1794,2408,16186
2000,Leukemia,3,117,50,46,49,89,86,114,159,196,373,657,765,1042,1176,778,1149,6849
2000,Benign neoplasms,2,0,0,1,1,5,7,10,14,10,20,39,40,60,65,62,67,403
2000,Diseases of the blood and blood-forming organs,8,25,6,11,5,15,16,20,31,40,58,114,122,209,337,220,578,1815
2000,"Endocrine, nutritional, and metabolic diseases",29,81,32,37,29,70,134,196,334,367,656,1317,1936,2771,4062,3594,8026,23671
2000,Diabetes mellitus,0,2,2,10,11,40,89,136,227,276,530,1100,1733,2519,3759,3373,7373,21180
2000,Mental and behavioral disorders,0,3,59,190,281,369,490,641,665,678,784,922,588,454,541,422,1549,8636
2000,Mental and behavioral disorders durch Alkohol,0,0,5,15,46,130,289,505,597,650,750,860,523,303,203,51,63,4990
2000,Mental and behavioral disorders due to psychoactive substance use,0,2,47,172,227,235,183,124,54,9,12,13,3,8,3,6,6,1104
2000,Diseases of the nervous system and sense organs,78,170,82,85,77,126,214,304,349,410,636,941,1231,1885,2897,2368,4256,16109
2000,Meningitis,10,7,4,3,3,6,7,6,8,10,14,21,24,33,32,19,19,226
2000,Diseases of the circulatory system,46,123,89,147,233,529,1160,2326,3784,5167,9206,18423,25861,41252,60933,56867,168897,395043
2000,Hypertension (high blood pressure),1,2,2,3,7,17,27,69,126,189,384,668,960,1561,2716,2712,9331,18775
2000,Ischemic heart diseases,0,0,6,15,39,133,378,966,1788,2501,4803,9582,13559,20338,27506,24038,62029,167681
2000,Acute or recurrent myocardial infarction,0,0,5,9,33,108,292,773,1394,1860,3334,6202,8080,11076,12921,9645,17533,73265
2000,Other forms of heart disease,32,68,47,65,79,139,315,524,814,1023,1595,3141,3917,6454,10337,10927,43518,82995
2000,Other diseases of the endocardium,3,15,3,5,12,20,33,45,51,81,130,296,454,755,1100,945,1883,5831
2000,Cerebrovascular diseases,5,18,15,27,55,123,224,406,593,763,1323,2821,4351,7891,13298,12955,35918,80786
2000,"Stroke, not specified as hemorrhage or infarction",0,2,2,5,3,8,14,48,85,158,375,1026,1946,3837,7235,7529,20762,43035
2000,"Diseases of arteries, arterioles, and capillaries",1,1,1,9,9,20,56,66,104,220,344,802,1112,2075,3171,3164,11993,23148
2000,Diseases of the respiratory system,28,59,38,43,56,83,176,255,414,656,1340,2612,3995,6701,8650,7466,19234,51806
2000,Influenza,0,1,0,0,3,2,2,4,4,5,1,9,10,15,27,32,152,267
2000,Pneumonia,13,15,15,15,20,39,63,94,127,176,298,580,789,1366,2393,2766,9721,18490
2000,Chronic diseases of the lower respiratory tract,2,24,14,17,17,31,73,105,210,371,833,1618,2607,4362,5090,3667,6757,25798
2000,Asthma,0,16,7,11,13,23,50,47,84,103,173,259,403,543,621,440,682,3475
2000,"COVID-19, virus identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,"COVID-19, virus not identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,Diseases of the digestive system,19,28,13,29,72,319,829,1476,2100,2166,3092,4275,3973,4301,5010,3806,9204,40712
2000,"Ulcer of the stomach, duodenum, peptic, peptic jejuni",1,1,1,1,2,9,15,52,74,69,114,195,247,328,484,417,1268,3278
2000,Diseases of the liver,3,8,2,12,41,232,636,1167,1666,1732,2404,3123,2432,1992,1454,698,826,18428
2000,"Alcoholic liver disease, chronic hepatitis, liver fibrosis, and cirrhosis",1,4,0,10,35,217,615,1131,1608,1673,2314,3002,2282,1859,1300,621,675,17347
2000,Diseases of the skin and subcutaneous tissue,0,0,3,0,1,0,5,2,6,8,10,26,18,48,69,63,175,434
2000,Diseases of the musculoskeletal system and connective tissue,0,6,4,9,6,15,20,18,22,48,74,116,166,232,347,226,523,1832
2000,Chronic polyarthritis and arthrosis,0,0,0,0,0,2,1,2,1,4,18,30,52,88,139,74,181,592
2000,Diseases of the genitourinary system,4,7,4,5,15,15,27,61,100,132,246,488,701,1201,1845,1638,4230,10719
2000,Diseases of the kidney,4,7,3,4,14,13,25,53,87,115,217,422,617,999,1507,1269,3245,8601
2000,"Pregnancy, childbirth, and the puerperium",0,0,3,5,13,8,13,1,0,0,0,0,0,0,0,0,0,43
2000,Certain conditions originating in the perinatal period,1455,13,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1474
2000,"Congenital malformations, deformations, and chromosomal abnormalities",934,196,43,35,35,42,43,27,37,38,60,44,25,24,22,10,28,1643
2000,Congenital malformations of the nervous system,85,36,3,4,4,6,5,3,3,0,2,2,1,3,1,0,0,158
2000,Congenital malformations of the circulatory system,394,82,17,16,10,17,20,9,11,8,19,10,4,14,15,7,20,673
2000,Symptoms and abnormal clinical and laboratory findings,599,133,77,159,217,360,514,762,953,1019,1367,1776,1686,1929,2194,1882,8162,23789
2000,Sudden infant death syndrome,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482
2000,Other ill-defined and unknown causes of mortality,111,119,73,152,210,353,504,748,934,998,1334,1725,1629,1766,1865,1268,2631,16420
2000,External causes of morbidity and mortality,86,591,1457,1841,1504,1889,2109,2257,2117,1772,2117,2331,1947,2195,2560,2114,5636,34523
2000,Accidents including late effects,53,493,1113,1247,843,957,959,981,923,791,963,1097,1028,1270,1698,1485,4427,20328
2000,Transport accidents,11,249,998,1061,639,642,557,551,449,378,373,384,358,349,320,217,211,7747
2000,Falls,9,27,28,33,36,66,120,129,175,158,244,355,362,557,914,907,3284,7404
2000,Drowning and submersion,5,84,16,19,20,14,32,25,36,31,43,44,31,32,31,17,27,507
2000,"Exposure to smoke, fire, and flames",1,26,7,7,12,20,28,36,38,19,39,35,20,36,41,32,78,475
2000,Accidental poisoning: harmful substances (incl. exposure),0,10,24,55,71,97,79,59,44,24,21,21,14,20,25,10,16,590
2000,Intentional self-harm,0,33,272,440,504,738,925,1028,991,822,971,1023,789,763,664,463,639,11065
2000,Assault,24,45,23,49,41,55,58,70,51,35,36,40,14,20,16,11,14,602
2000,"Event of undetermined intent",9,20,49,103,114,135,164,173,147,121,146,159,108,136,171,151,547,2453
2000,Total,3362,1851,2085,2830,2950,4835,7802,11861,17076,21624,35982,59383,70749,98440,126288,104210,267469,838797
2001,Certain infectious and parasitic diseases,30,84,34,32,54,138,241,299,288,338,452,847,1005,1419,1633,1392,2089,10375
2001,Tuberculosis and its sequelae,0,2,0,2,3,5,10,21,19,24,22,53,42,66,101,67,99,536
2001,Meningococcal infection,6,17,10,1,3,2,1,7,4,1,2,3,2,3,3,1,3,69
2001,Viral hepatitis,1,0,1,4,9,17,34,55,52,64,62,90,140,203,201,158,79,1170
2001,HIV disease,0,2,2,6,19,66,105,108,68,45,41,47,19,7,2,3,3,543
2001,Neoplasms,25,348,185,188,285,709,1641,3174,5705,9207,14160,25229,27353,33418,34059,24637,32735,213058
2001,Malignant neoplasms,16,324,177,179,279,687,1605,3130,5634,9104,14014,24901,26950,32778,33090,23725,31026,207619
2001,"Neoplasms of the lip, oral cavity, and pharynx",0,2,1,5,5,12,49,195,392,588,716,960,638,481,355,207,247,4853
2001,Neoplasms of the esophagus,0,0,1,2,0,4,17,68,191,357,540,799,674,612,480,267,284,4296
2001,Neoplasms of the stomach,0,0,1,3,10,33,89,205,270,467,647,1177,1472,1893,2052,1593,2539,12451
2001,Neoplasms of the colon,1,1,1,6,4,39,81,134,280,512,955,1862,2212,3128,3554,2858,4322,19950
2001,"Neoplasms of the rectum, anus, and rectosigmoid junction",1,0,0,3,5,18,39,88,162,331,590,983,1115,1249,1315,1035,1483,8417
2001,"Neoplasms of the liver, biliary tract, and pancreas",1,10,4,3,8,19,80,182,418,785,1366,2687,3008,3675,3870,2696,3213,22025
2001,Neoplasms of the liver and intrahepatic bile ducts,1,10,4,2,4,9,18,45,110,203,339,743,836,974,936,573,639,5446
2001,Neoplasms of the pancreas,0,0,0,1,4,8,44,115,263,480,859,1527,1669,2005,2183,1540,1740,12438
2001,"Neoplasms of the larynx, trachea, bronchi, and lung",0,1,3,1,9,34,153,535,1322,2177,3571,6173,6635,7763,5925,3240,2511,40053
2001,Neoplasms of the bronchi and lung,0,1,3,1,9,33,143,498,1232,2045,3393,5899,6382,7537,5770,3153,2426,38525
2001,Melanoma and other malignant neoplasms of the skin,0,1,2,4,18,34,67,96,120,151,180,293,296,323,330,256,476,2647
2001,Malignant melanoma of the skin,0,1,1,4,17,32,66,92,111,144,165,257,262,285,279,209,292,2217
2001,Neoplasms of the breast,0,0,0,2,13,80,299,533,798,1181,1487,2185,1905,2085,2533,1863,2773,17737
2001,Neoplasms of the genital and urinary organs,0,11,9,9,41,104,221,379,612,977,1539,3359,4009,5573,6231,4992,6941,35007
2001,Neoplasms of the cervix uteri,0,0,1,0,8,38,88,147,157,161,129,195,167,168,194,178,190,1821
2001,"Neoplasms of the corpus uteri and uterus, part unspecified",0,0,0,0,0,2,10,25,54,66,105,241,304,383,461,409,581,2641
2001,Neoplasms of the ovary,0,0,1,4,7,22,44,80,159,290,393,746,755,868,1007,705,740,5821
2001,Neoplasms of the prostate,0,1,0,0,0,1,2,7,30,95,264,803,1133,1939,2213,1864,2798,11150
2001,"Neoplasms of the kidney, except renal pelvis",0,7,1,0,6,10,24,51,123,190,350,737,797,883,832,547,642,5200
2001,Neoplasms of the urinary bladder,0,2,0,0,0,2,11,29,42,98,185,397,565,893,1031,918,1409,5582
2001,"Neoplasms of lymphoid, hematopoietic, and related tissue",5,106,74,79,70,120,178,248,347,533,886,1709,2033,2565,2872,2012,2214,16051
2001,Leukemia,5,88,61,49,50,67,101,105,149,221,330,668,787,993,1143,832,1044,6693
2001,Benign neoplasms,2,5,1,2,3,7,10,8,18,18,13,45,30,47,72,58,77,416
2001,Diseases of the blood and blood-forming organs,7,17,8,10,5,14,15,23,29,33,51,121,140,252,289,287,600,1901
2001,"Endocrine, nutritional, and metabolic diseases",35,70,25,28,35,48,120,196,311,434,588,1326,1956,2885,3883,4020,8403,24363
2001,Diabetes mellitus,0,5,6,3,16,28,71,144,229,327,477,1114,1756,2619,3590,3780,7713,21878
2001,Mental and behavioral disorders,0,3,28,120,149,258,422,591,686,618,684,806,597,456,413,466,1529,7826
2001,Mental and behavioral disorders durch Alkohol,0,1,1,12,23,103,269,484,617,581,651,747,534,315,154,81,60,4633
2001,Mental and behavioral disorders due to psychoactive substance use,0,0,20,106,123,151,142,97,59,17,9,5,2,3,2,5,3,744
2001,Diseases of the nervous system and sense organs,64,174,79,85,96,129,223,311,393,419,563,1000,1242,1920,2857,2726,4366,16647
2001,Meningitis,4,4,1,3,1,7,4,5,4,7,8,16,21,23,30,18,28,184
2001,Diseases of the circulatory system,35,124,118,148,216,506,1192,2251,3833,5540,8347,17718,25385,40205,58693,61780,165636,391727
2001,Hypertension (high blood pressure),0,1,2,5,2,8,34,69,126,198,318,734,1033,1673,2831,3427,10344,20805
2001,Ischemic heart diseases,0,0,9,16,36,133,401,928,1833,2733,4296,9075,12986,19749,26353,25636,60885,165069
2001,Acute or recurrent myocardial infarction,0,0,7,14,24,99,324,754,1412,1999,2925,5834,7612,10434,12161,10360,17066,71025
2001,Other forms of heart disease,26,78,47,58,65,162,327,529,794,1099,1504,3077,3993,6451,10038,11941,42476,82665
2001,Other diseases of the endocardium,0,8,5,5,10,12,29,30,48,74,118,307,452,751,1186,1131,1988,6154
2001,Cerebrovascular diseases,4,26,34,34,45,96,209,410,576,849,1221,2610,4259,7512,12554,13913,34339,78691
2001,"Stroke, not specified as hemorrhage or infarction",0,4,1,5,3,9,22,28,82,164,376,896,1830,3591,6461,7738,19461,40671
2001,"Diseases of arteries, arterioles, and capillaries",0,3,4,9,9,26,47,86,135,200,342,789,1217,1938,2939,3352,11580,22676
2001,Diseases of the respiratory system,30,90,28,37,58,80,139,247,401,644,1192,2519,3670,6231,8139,7567,17463,48535
2001,Influenza,1,2,0,1,3,4,3,1,1,2,1,4,4,3,6,7,29,72
2001,Pneumonia,12,45,12,12,22,27,60,95,123,164,263,552,770,1427,2306,2747,8903,17540
2001,Chronic diseases of the lower respiratory tract,2,21,11,12,17,24,46,115,194,375,736,1544,2357,3937,4660,3774,5968,23793
2001,Asthma,0,12,10,9,10,17,24,52,61,107,143,249,324,429,531,366,542,2886
2001,"COVID-19, virus identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"COVID-19, virus not identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,Diseases of the digestive system,18,31,9,26,60,230,758,1340,1989,2370,2768,4272,4055,4427,4948,4400,9217,40918
2001,"Ulcer of the stomach, duodenum, peptic, peptic jejuni",1,2,0,2,0,8,23,28,69,68,96,169,240,332,488,506,1280,3312
2001,Diseases of the liver,3,8,2,10,33,154,589,1091,1590,1878,2157,3119,2427,1977,1434,836,832,18140
2001,"Alcoholic liver disease, chronic hepatitis, liver fibrosis, and cirrhosis",0,0,0,4,33,145,558,1059,1555,1799,2080,2973,2294,1837,1296,744,682,17059
2001,Diseases of the skin and subcutaneous tissue,0,0,2,0,0,3,1,3,4,8,6,19,18,33,63,61,185,406
2001,Diseases of the musculoskeletal system and connective tissue,0,9,6,6,6,8,17,21,27,45,72,133,162,238,323,270,565,1908
2001,Chronic polyarthritis and arthrosis,0,1,1,0,1,1,3,6,2,6,14,37,46,85,126,93,197,619
2001,Diseases of the genitourinary system,3,8,4,12,5,19,26,62,107,141,217,514,721,1249,1834,1892,4407,11221
2001,Diseases of the kidney,3,8,4,10,4,17,21,56,91,119,190,456,613,1027,1456,1446,3387,8908
2001,"Pregnancy, childbirth, and the puerperium",0,0,0,1,4,14,7,1,0,0,0,0,0,0,0,0,0,27
2001,Certain conditions originating in the perinatal period,1439,25,1,4,1,1,3,0,2,1,1,0,3,1,1,0,1,1484
2001,"Congenital malformations, deformations, and chromosomal abnormalities",853,213,45,38,29,41,35,34,39,46,56,49,38,25,20,16,35,1612
2001,Congenital malformations of the nervous system,67,43,7,5,4,1,2,2,5,2,1,1,4,2,0,0,0,146
2001,Congenital malformations of the circulatory system,357,79,15,9,8,16,14,9,14,9,8,13,10,12,10,8,25,616
2001,Symptoms and abnormal clinical and laboratory findings,544,115,108,153,198,314,555,771,984,1071,1204,1821,1670,1809,2056,1941,7018,22332
2001,Sudden infant death syndrome,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429
2001,Other ill-defined and unknown causes of mortality,111,103,106,151,192,308,549,756,969,1042,1179,1770,1592,1667,1747,1335,2305,15882
2001,External causes of morbidity and mortality,80,580,1296,1781,1352,1718,2281,2169,2172,1868,1842,2371,1954,2175,2604,2463,5495,34201
2001,Accidents including late effects,42,465,959,1207,758,830,1042,934,922,801,812,1186,1058,1286,1700,1731,4281,20014
2001,Transport accidents,11,236,850,987,541,516,619,496,455,357,324,388,293,314,366,244,184,7181
2001,Falls,8,34,19,35,31,56,99,112,140,175,186,384,389,550,811,996,3074,7099
2001,Drowning and submersion,2,88,14,16,8,16,20,39,25,26,35,46,34,27,21,19,19,455
2001,"Exposure to smoke, fire, and flames",1,32,11,11,12,16,29,28,29,30,36,52,31,29,50,31,50,478
2001,Accidental poisoning: harmful substances (incl. exposure),0,1,37,98,109,141,145,113,73,32,41,61,41,38,43,43,24,1040
2001,Intentional self-harm,0,48,261,456,475,729,995,1025,1024,880,888,1005,766,736,706,508,654,11156
2001,Assault,28,37,24,42,36,34,72,57,49,41,30,30,24,14,15,11,20,564
2001,"Event of undetermined intent",10,29,51,76,81,117,171,149,171,142,111,143,96,132,173,203,534,2389
2001,Insgesamt,3163,1891,1976,2669,2553,4230,7676,11493,16970,22783,32203,58745,69969,96743,121815,113918,259744,828541
2002,Certain infectious and parasitic diseases,33,73,29,26,52,93,200,299,339,358,411,769,988,1321,1677,1521,2277,10466
2002,Tuberculosis and its sequelae,0,0,0,0,4,2,6,16,20,23,19,40,48,64,97,73,95,507
2002,Meningococcal infection,14,23,15,2,1,0,3,1,2,2,3,3,1,5,1,1,1,78
2002,Viral hepatitis,0,0,2,1,6,11,30,45,71,68,51,110,140,184,273,143,92,1227
2002,HIV disease,1,1,0,3,24,61,95,117,68,42,40,36,18,8,3,1,0,518
2002,Neoplasms,25,289,143,211,303,719,1598,3155,5899,9562,13467,25023,28537,33187,33765,28294,31264,215441
2002,Malignant neoplasms,19,268,137,202,294,706,1574,3112,5844,9459,13316,24671,28052,32519,32873,27336,29661,210043
2002,"Neoplasms of the lip, oral cavity, and pharynx",0,1,0,2,5,7,36,162,395,597,736,898,641,466,307,202,244,4699
2002,Neoplasms of the esophagus,0,0,0,1,1,10,18,69,218,392,508,760,793,629,461,336,327,4523
2002,Neoplasms of the stomach,0,3,0,11,13,46,93,185,325,461,603,1231,1521,1773,1964,1851,2308,12388
2002,Neoplasms of the colon,0,0,3,2,15,37,94,128,278,518,849,1857,2357,3060,3633,3328,4204,20363
2002,"Neoplasms of the rectum, anus, and rectosigmoid junction",0,1,0,0,4,15,40,79,146,312,509,1088,1123,1339,1311,1118,1420,8505
2002,"Neoplasms of the liver, biliary tract, and pancreas",0,6,1,4,7,33,94,229,462,836,1289,2752,3272,3722,3914,3211,2913,22745
2002,Neoplasms of the liver and intrahepatic bile ducts,0,4,1,4,3,13,32,56,124,226,357,727,966,998,945,730,519,5705
2002,Neoplasms of the pancreas,0,1,0,0,3,12,52,137,273,507,781,1631,1801,2078,2146,1758,1639,12819
2002,"Neoplasms of the larynx, trachea, bronchi, and lung",0,1,2,9,9,35,159,564,1332,2370,3520,6222,6912,7533,5930,3729,2388,40715
2002,Neoplasms of the bronchi and lung,0,1,2,9,8,35,150,527,1244,2219,3311,5932,6656,7305,5789,3623,2294,39105
2002,Melanoma and other malignant neoplasms of the skin,0,0,5,2,8,41,59,87,120,145,188,289,285,321,371,303,453,2677
2002,Malignant melanoma of the skin,0,0,2,2,8,40,59,81,110,136,163,257,245,275,312,236,284,2210
2002,Neoplasms of the breast,0,0,0,4,14,98,278,493,855,1197,1400,2158,2035,2057,2535,2153,2733,18010
2002,Neoplasms of the genital and urinary organs,0,6,7,14,36,85,196,382,620,996,1436,3149,4141,5548,6081,5648,6660,35005
2002,Neoplasms of the cervix uteri,0,0,0,0,9,31,74,119,153,166,138,167,171,189,181,171,194,1763
2002,"Neoplasms of the corpus uteri and uterus, part unspecified",0,0,1,0,1,2,5,24,38,96,98,232,330,363,473,436,579,2678
2002,Neoplasms of the ovary,0,0,3,4,10,15,49,101,180,277,361,721,794,850,971,848,726,5910
2002,Neoplasms of the prostate,0,0,0,0,0,1,3,3,26,106,278,806,1256,1991,2158,2146,2648,11422
2002,"Neoplasms of the kidney, except renal pelvis",0,6,1,1,2,5,20,59,113,184,307,607,773,878,814,624,612,5006
2002,Neoplasms of the urinary bladder,0,0,0,1,2,2,14,27,54,99,152,375,533,812,1014,975,1391,5451
2002,"Neoplasms of lymphoid, hematopoietic, and related tissue",2,79,51,74,75,119,173,247,364,537,785,1635,2108,2686,2845,2324,2226,16330
2002,Leukemia,1,65,38,50,48,67,95,111,171,191,289,613,879,1104,1153,950,1052,6877
2002,Benign neoplasms,4,1,1,2,3,2,4,8,9,11,12,38,54,42,71,59,69,390
2002,Diseases of the blood and blood-forming organs,6,30,6,12,4,9,20,27,30,39,49,116,170,202,263,319,570,1872
2002,"Endocrine, nutritional, and metabolic diseases",35,53,22,33,34,62,134,207,325,483,616,1332,2142,3080,4126,4924,8747,26355
2002,Diabetes mellitus,0,3,4,11,13,36,89,131,215,365,492,1122,1895,2790,3857,4608,7976,23607
2002,Mental and behavioral disorders,0,2,29,110,147,200,391,567,717,688,639,877,608,460,460,517,1510,7922
2002,Mental and behavioral disorders durch Alkohol,0,0,2,6,24,89,249,464,649,657,613,828,551,343,190,68,45,4778
2002,Mental and behavioral disorders due to psychoactive substance use,0,0,20,99,115,103,128,83,53,14,12,7,8,4,4,7,6,663
2002,Diseases of the nervous system and sense organs,73,152,95,94,78,140,214,303,407,436,567,1059,1313,2002,2932,3350,4541,17756
2002,Meningitis,11,8,1,0,2,0,4,6,5,9,10,16,22,25,26,25,16,186
2002,Diseases of the circulatory system,20,106,120,173,210,482,1157,2304,3870,5718,7765,17009,25669,39562,56701,70208,162704,393778
2002,Hypertension (high blood pressure),0,5,2,2,2,9,34,60,147,251,334,749,1203,1878,2963,4274,11348,23261
2002,Ischemic heart diseases,0,0,11,26,28,106,406,932,1802,2717,3815,8508,12946,19362,25216,29201,59725,164801
2002,Acute or recurrent myocardial infarction,0,0,4,17,22,86,326,737,1379,1964,2579,5289,7506,10084,11416,11441,16424,69274
2002,Other forms of heart disease,9,53,68,86,74,161,308,559,885,1161,1530,3061,4264,6341,9972,13883,42079,84494
2002,Other diseases of the endocardium,2,11,4,7,10,15,29,43,55,87,127,279,436,756,1148,1240,2075,6324
2002,Cerebrovascular diseases,5,21,12,27,47,97,222,409,562,883,1123,2590,4217,7385,11907,15363,32649,77519
2002,"Stroke, not specified as hemorrhage or infarction",0,4,2,1,4,8,19,36,82,178,326,903,1748,3399,6019,8393,18311,39433
2002,"Diseases of arteries, arterioles, and capillaries",0,3,8,8,5,22,40,78,136,191,324,813,1221,1860,3019,3783,11025,22536
2002,Diseases of the respiratory system,24,95,30,36,49,85,159,278,429,754,1202,2685,3989,6771,8845,9262,18953,53646
2002,Influenza,0,1,0,1,0,3,2,3,2,1,2,2,3,9,8,12,53,102
2002,Pneumonia,10,44,7,12,18,31,51,98,143,200,259,620,882,1494,2465,3304,9565,19203
2002,Chronic diseases of the lower respiratory tract,4,21,12,14,19,33,73,117,195,406,732,1581,2508,4190,4988,4459,6157,25509
2002,Asthma,1,12,8,8,16,19,43,49,58,91,126,217,303,418,445,395,492,2701
2002,"COVID-19, virus identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,"COVID-19, virus not identified",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,Diseases of the digestive system,14,27,16,31,60,224,709,1431,2031,2556,2559,4186,4129,4484,5095,5184,9113,41849
2002,"Ulcer of the stomach, duodenum, peptic, peptic jejuni",1,1,1,2,1,3,14,46,45,74,97,193,238,348,487,590,1340,3481
2002,Diseases of the liver,3,2,2,9,26,154,542,1161,1632,2033,1968,3036,2528,2007,1515,954,769,18341
2002,"Alcoholic liver disease, chronic hepatitis, liver fibrosis, and cirrhosis",0,1,0,7,25,146,519,1118,1576,1972,1885,2920,2400,1873,1354,858,657,17311
2002,Diseases of the skin and subcutaneous tissue,1,0,1,2,0,0,3,8,7,11,12,9,24,42,60,68,205,453
2002,Diseases of the musculoskeletal system and connective tissue,0,2,5,3,2,9,8,27,22,30,68,144,182,250,325,309,540,1926
2002,Chronic polyarthritis and arthrosis,0,0,0,0,0,0,0,5,1,2,11,32,61,70,98,102,175,557
2002,Diseases of the genitourinary system,2,9,3,2,6,18,26,48,99,137,228,463,818,1275,1980,2394,4752,12260
2002,Diseases of the kidney,2,7,3,1,6,14,19,37,83,120,204,395,691,1019,1562,1811,3601,9575
2002,"Pregnancy, childbirth, and the puerperium",0,0,0,3,5,5,7,1,0,0,0,0,0,0,0,0,0,21
2002,Certain conditions originating in the perinatal period,1477,24,3,0,1,0,1,0,2,2,0,0,2,0,1,0,0,1513
2002,"Congenital malformations, deformations, and chromosomal abnormalities",820,214,41,33,31,30,40,44,29,52,53,62,27,24,28,19,25,1572
2002,Congenital malformations of the nervous system,58,49,4,5,7,7,5,3,0,4,2,2,2,1,1,0,0,150
